"","season","stage","date","home_team_goal","away_team_goal","country","league","home_team","away_team","B365H","B365D","B365A","home_shoton","away_shoton","home_shotoff","away_shotoff","home_foulcommit","away_foulcommit","home_card","away_card","home_cross","away_cross","home_corner","away_corner"
"24433","2012/2013",36,"2013-06-01 00:00:00",4,2,"Switzerland","Switzerland Super League","FC Sion","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24434","2008/2009",27,"2009-04-09 00:00:00",0,1,"Switzerland","Switzerland Super League","FC Sion","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24435","2013/2014",28,"2014-04-05 00:00:00",2,0,"Switzerland","Switzerland Super League","Grasshopper Club Zürich","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24436","2015/2016",14,"2015-11-01 00:00:00",1,1,"Switzerland","Switzerland Super League","BSC Young Boys","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24437","2015/2016",2,"2015-07-26 00:00:00",2,2,"Switzerland","Switzerland Super League","FC Vaduz","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24438","2008/2009",11,"2008-10-06 00:00:00",0,3,"Switzerland","Switzerland Super League","FC Luzern","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24439","2011/2012",17,"2011-12-04 00:00:00",0,1,"Switzerland","Switzerland Super League","Servette FC","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24440","2011/2012",8,"2011-09-10 00:00:00",3,1,"Switzerland","Switzerland Super League","FC Luzern","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24441","2014/2015",29,"2015-04-25 00:00:00",0,0,"Switzerland","Switzerland Super League","FC Aarau","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24442","2012/2013",34,"2013-05-26 00:00:00",2,4,"Switzerland","Switzerland Super League","BSC Young Boys","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24443","2008/2009",15,"2008-11-16 00:00:00",1,1,"Switzerland","Switzerland Super League","FC Basel","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24444","2008/2009",21,"2009-02-22 00:00:00",2,1,"Switzerland","Switzerland Super League","FC Basel","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24445","2009/2010",30,"2010-04-14 00:00:00",1,4,"Switzerland","Switzerland Super League","AC Bellinzona","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24446","2015/2016",7,"2015-08-30 00:00:00",3,1,"Switzerland","Switzerland Super League","FC Basel","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24447","2010/2011",32,"2011-05-08 00:00:00",2,2,"Switzerland","Switzerland Super League","FC St. Gallen","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24448","2015/2016",30,"2016-04-24 00:00:00",3,0,"Switzerland","Switzerland Super League","BSC Young Boys","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"24449","2011/2012",3,"2011-07-30 00:00:00",2,1,"Switzerland","Switzerland Super League","FC Lausanne-Sports","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24450","2012/2013",1,"2012-07-15 00:00:00",1,1,"Switzerland","Switzerland Super League","FC Luzern","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24451","2013/2014",33,"2014-05-06 00:00:00",1,0,"Switzerland","Switzerland Super League","FC Sion","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24452","2014/2015",19,"2015-02-07 00:00:00",1,4,"Switzerland","Switzerland Super League","FC St. Gallen","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24453","2015/2016",10,"2015-09-27 00:00:00",1,0,"Switzerland","Switzerland Super League","FC Luzern","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24454","2009/2010",12,"2009-10-04 00:00:00",3,2,"Switzerland","Switzerland Super League","AC Bellinzona","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24455","2008/2009",31,"2009-05-03 00:00:00",0,1,"Switzerland","Switzerland Super League","Neuchâtel Xamax","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24456","2011/2012",36,"2012-05-23 00:00:00",2,4,"Switzerland","Switzerland Super League","FC Thun","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24457","2011/2012",19,"2012-02-04 00:00:00",1,1,"Switzerland","Switzerland Super League","FC Luzern","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24458","2012/2013",11,"2012-09-30 00:00:00",2,2,"Switzerland","Switzerland Super League","FC Sion","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24459","2009/2010",6,"2009-08-15 00:00:00",3,3,"Switzerland","Switzerland Super League","FC Sion","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24460","2014/2015",12,"2014-10-19 00:00:00",1,3,"Switzerland","Switzerland Super League","Grasshopper Club Zürich","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24461","2008/2009",9,"2008-09-14 00:00:00",1,7,"Switzerland","Switzerland Super League","FC Vaduz","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24462","2009/2010",26,"2010-03-24 00:00:00",4,1,"Switzerland","Switzerland Super League","FC Basel","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24463","2015/2016",5,"2015-08-13 00:00:00",3,1,"Switzerland","Switzerland Super League","FC Sion","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24464","2008/2009",3,"2008-07-27 00:00:00",2,1,"Switzerland","Switzerland Super League","FC Aarau","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24465","2010/2011",6,"2010-08-22 00:00:00",1,0,"Switzerland","Switzerland Super League","BSC Young Boys","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24466","2014/2015",23,"2015-03-08 00:00:00",2,2,"Switzerland","Switzerland Super League","FC Vaduz","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24467","2013/2014",14,"2013-11-03 00:00:00",2,1,"Switzerland","Switzerland Super League","FC Thun","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24468","2011/2012",25,"2012-03-18 00:00:00",1,1,"Switzerland","Switzerland Super League","Servette FC","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24469","2013/2014",5,"2013-08-11 00:00:00",1,2,"Switzerland","Switzerland Super League","FC Basel","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24470","2011/2012",32,"2012-05-01 00:00:00",1,0,"Switzerland","Switzerland Super League","BSC Young Boys","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24471","2013/2014",7,"2013-10-30 00:00:00",3,1,"Switzerland","Switzerland Super League","Grasshopper Club Zürich","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24472","2015/2016",31,"2016-05-01 00:00:00",4,0,"Switzerland","Switzerland Super League","FC Thun","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA
"24473","2008/2009",7,"2008-08-24 00:00:00",1,3,"Switzerland","Switzerland Super League","FC Sion","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24474","2011/2012",28,"2012-04-07 00:00:00",2,1,"Switzerland","Switzerland Super League","FC Sion","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24475","2008/2009",5,"2008-08-10 00:00:00",2,2,"Switzerland","Switzerland Super League","Grasshopper Club Zürich","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24476","2012/2013",27,"2013-04-14 00:00:00",3,1,"Switzerland","Switzerland Super League","FC Basel","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24477","2015/2016",9,"2015-09-22 00:00:00",0,0,"Switzerland","Switzerland Super League","Lugano","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24478","2014/2015",15,"2014-11-09 00:00:00",0,1,"Switzerland","Switzerland Super League","FC Aarau","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24479","2009/2010",32,"2010-04-24 00:00:00",4,1,"Switzerland","Switzerland Super League","FC Luzern","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24480","2010/2011",31,"2011-05-01 00:00:00",0,1,"Switzerland","Switzerland Super League","AC Bellinzona","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24481","2011/2012",13,"2011-10-26 00:00:00",0,2,"Switzerland","Switzerland Super League","FC Thun","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24482","2012/2013",13,"2012-10-21 00:00:00",0,2,"Switzerland","Switzerland Super League","FC Lausanne-Sports","FC Zürich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24483","2009/2010",17,"2009-12-13 00:00:00",0,1,"France","France Ligue 1","Toulouse FC","Montpellier Hérault SC",1.91,3.2,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24484","2011/2012",19,"2011-12-21 00:00:00",4,2,"France","France Ligue 1","Évian Thonon Gaillard FC","Montpellier Hérault SC",3.2,3,2.38,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"24485","2013/2014",4,"2013-09-01 00:00:00",2,2,"France","France Ligue 1","OGC Nice","Montpellier Hérault SC",2,3.25,3.8,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA
"24486","2009/2010",15,"2010-01-13 00:00:00",4,0,"France","France Ligue 1","AS Monaco","Montpellier Hérault SC",2.3,3,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24487","2011/2012",11,"2011-10-22 00:00:00",1,3,"France","France Ligue 1","SM Caen","Montpellier Hérault SC",2.7,3.1,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24488","2012/2013",7,"2012-09-29 00:00:00",0,2,"France","France Ligue 1","AS Nancy-Lorraine","Montpellier Hérault SC",3.2,3,2.4,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"24489","2013/2014",8,"2013-09-29 00:00:00",1,1,"France","France Ligue 1","AC Ajaccio","Montpellier Hérault SC",3.1,3.25,2.3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA
"24490","2011/2012",28,"2012-03-17 00:00:00",1,0,"France","France Ligue 1","AS Nancy-Lorraine","Montpellier Hérault SC",3.4,3.2,2.2,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA
"24491","2009/2010",4,"2009-08-29 00:00:00",0,3,"France","France Ligue 1","OGC Nice","Montpellier Hérault SC",2,3.1,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24492","2011/2012",38,"2012-05-20 00:00:00",1,2,"France","France Ligue 1","AJ Auxerre","Montpellier Hérault SC",7,3.75,1.53,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
"24493","2011/2012",17,"2011-12-10 00:00:00",1,0,"France","France Ligue 1","Valenciennes FC","Montpellier Hérault SC",2.5,3,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"24494","2009/2010",12,"2009-10-31 00:00:00",2,1,"France","France Ligue 1","AJ Auxerre","Montpellier Hérault SC",2.1,3.1,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24495","2011/2012",4,"2011-08-27 00:00:00",2,1,"France","France Ligue 1","Olympique Lyonnais","Montpellier Hérault SC",1.5,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24496","2013/2014",30,"2014-03-22 00:00:00",2,1,"France","France Ligue 1","FC Nantes","Montpellier Hérault SC",2.8,3,2.7,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA
"24497","2015/2016",12,"2015-10-31 00:00:00",1,1,"France","France Ligue 1","Toulouse FC","Montpellier Hérault SC",2.1,3.25,3.75,7,5,2,3,23,15,4,2,16,13,3,7
"24498","2015/2016",38,"2016-05-14 00:00:00",2,0,"France","France Ligue 1","AS Monaco","Montpellier Hérault SC",1.4,4.33,8.5,6,4,6,4,13,12,3,1,11,13,5,7
"24499","2011/2012",24,"2012-02-19 00:00:00",2,2,"France","France Ligue 1","Paris Saint-Germain","Montpellier Hérault SC",1.8,3.3,4.75,3,7,8,3,14,16,3,2,17,17,4,6
"24500","2010/2011",14,"2010-11-20 00:00:00",0,1,"France","France Ligue 1","OGC Nice","Montpellier Hérault SC",2.5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24501","2012/2013",21,"2013-01-19 00:00:00",3,2,"France","France Ligue 1","Olympique de Marseille","Montpellier Hérault SC",1.85,3.4,4.33,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"24502","2010/2011",25,"2011-02-26 00:00:00",0,0,"France","France Ligue 1","FC Sochaux-Montbéliard","Montpellier Hérault SC",2.3,3,3.4,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA
"24503","2009/2010",38,"2010-05-15 00:00:00",1,3,"France","France Ligue 1","Paris Saint-Germain","Montpellier Hérault SC",2.5,3.1,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24504","2013/2014",6,"2013-09-21 00:00:00",2,2,"France","France Ligue 1","Évian Thonon Gaillard FC","Montpellier Hérault SC",2.2,3.3,3.25,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA
"24505","2012/2013",32,"2013-04-13 00:00:00",4,2,"France","France Ligue 1","Girondins de Bordeaux","Montpellier Hérault SC",2.25,3.1,3.4,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA
"24506","2012/2013",38,"2013-05-26 00:00:00",2,0,"France","France Ligue 1","Toulouse FC","Montpellier Hérault SC",2.38,3.1,3.1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"24507","2010/2011",19,"2010-12-21 00:00:00",0,0,"France","France Ligue 1","FC Lorient","Montpellier Hérault SC",2.1,3.1,3.8,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA
"24508","2010/2011",2,"2010-08-17 00:00:00",0,0,"France","France Ligue 1","AS Monaco","Montpellier Hérault SC",2.25,3.1,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24509","2011/2012",6,"2011-09-17 00:00:00",2,2,"France","France Ligue 1","Stade Brestois 29","Montpellier Hérault SC",2.63,3,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24510","2015/2016",19,"2015-12-18 00:00:00",1,0,"France","France Ligue 1","OGC Nice","Montpellier Hérault SC",2.3,3.25,3.2,6,8,2,3,18,15,2,2,15,14,9,8
"24511","2015/2016",21,"2016-01-16 00:00:00",1,0,"France","France Ligue 1","SC Bastia","Montpellier Hérault SC",2.75,3,2.8,0,2,1,4,20,8,4,2,12,13,1,6
"24512","2014/2015",11,"2014-10-25 00:00:00",1,0,"France","France Ligue 1","Stade de Reims","Montpellier Hérault SC",2.63,3.1,2.8,3,6,5,5,15,12,3,0,14,16,5,6
"24513","2012/2013",11,"2012-11-03 00:00:00",1,1,"France","France Ligue 1","ES Troyes AC","Montpellier Hérault SC",3.5,3.2,2.15,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"24514","2010/2011",4,"2010-08-28 00:00:00",0,1,"France","France Ligue 1","Valenciennes FC","Montpellier Hérault SC",2.2,3,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24515","2013/2014",38,"2014-05-17 00:00:00",4,0,"France","France Ligue 1","Paris Saint-Germain","Montpellier Hérault SC",1.25,5.5,12,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
"24516","2009/2010",32,"2010-04-10 00:00:00",2,2,"France","France Ligue 1","Le Mans FC","Montpellier Hérault SC",3.5,3.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24517","2014/2015",21,"2015-01-17 00:00:00",2,3,"France","France Ligue 1","FC Metz","Montpellier Hérault SC",2.4,3.1,3.2,5,5,3,5,13,14,0,1,18,20,5,6
"24518","2009/2010",34,"2010-04-24 00:00:00",0,0,"France","France Ligue 1","AS Nancy-Lorraine","Montpellier Hérault SC",3,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24519","2010/2011",6,"2010-09-18 00:00:00",3,0,"France","France Ligue 1","AS Saint-Étienne","Montpellier Hérault SC",2.05,3.2,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24520","2014/2015",30,"2015-03-21 00:00:00",1,0,"France","France Ligue 1","Évian Thonon Gaillard FC","Montpellier Hérault SC",3,3.1,2.55,2,4,6,4,15,11,2,0,14,12,1,5
"24521","2010/2011",38,"2011-05-29 00:00:00",2,0,"France","France Ligue 1","Girondins de Bordeaux","Montpellier Hérault SC",1.91,3.3,4.1,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA
"24522","2014/2015",13,"2014-11-08 00:00:00",2,0,"France","France Ligue 1","SC Bastia","Montpellier Hérault SC",2.5,3,3,4,1,5,5,22,18,2,3,25,23,2,5
"24523","2013/2014",34,"2014-04-20 00:00:00",4,4,"France","France Ligue 1","FC Lorient","Montpellier Hérault SC",2.25,3.2,3.25,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"24524","2011/2012",13,"2011-11-06 00:00:00",1,1,"France","France Ligue 1","AS Saint-Étienne","Montpellier Hérault SC",2.5,3.1,2.9,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"24525","2010/2011",27,"2011-03-13 00:00:00",2,2,"France","France Ligue 1","Paris Saint-Germain","Montpellier Hérault SC",1.7,3.4,5.5,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA
"24526","2011/2012",30,"2012-04-11 00:00:00",1,3,"France","France Ligue 1","Olympique de Marseille","Montpellier Hérault SC",3,3.25,2.4,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA
"24527","2015/2016",17,"2015-12-06 00:00:00",2,2,"France","France Ligue 1","Olympique de Marseille","Montpellier Hérault SC",1.65,3.75,5.5,11,0,3,3,9,10,2,1,25,6,6,3
"24528","2014/2015",19,"2014-12-20 00:00:00",0,0,"France","France Ligue 1","Paris Saint-Germain","Montpellier Hérault SC",1.25,5.75,13,7,1,6,1,14,19,1,4,15,8,8,5
"24529","2013/2014",23,"2014-02-01 00:00:00",2,4,"France","France Ligue 1","Stade de Reims","Montpellier Hérault SC",2.5,3,3,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA
"24530","2014/2015",4,"2014-08-30 00:00:00",1,0,"France","France Ligue 1","FC Nantes","Montpellier Hérault SC",2.25,3.1,3.4,5,2,5,8,19,10,2,0,21,21,7,4
"24531","2015/2016",10,"2015-10-18 00:00:00",0,0,"France","France Ligue 1","Girondins de Bordeaux","Montpellier Hérault SC",1.75,3.6,5,9,2,5,5,16,12,4,2,20,9,7,2
"24532","2014/2015",32,"2015-04-12 00:00:00",1,0,"France","France Ligue 1","Toulouse FC","Montpellier Hérault SC",2.38,3.3,3.1,4,4,5,4,24,18,2,2,5,16,4,6
"24533","2010/2011",34,"2011-05-07 00:00:00",1,0,"France","France Ligue 1","AJ Auxerre","Montpellier Hérault SC",2.2,3,3.6,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"24534","2013/2014",15,"2013-11-29 00:00:00",2,0,"France","France Ligue 1","Olympique de Marseille","Montpellier Hérault SC",1.85,3.3,4.5,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA
"24535","2011/2012",26,"2012-03-03 00:00:00",1,1,"France","France Ligue 1","Dijon FCO","Montpellier Hérault SC",3.8,3.2,2.05,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA
"24536","2015/2016",9,"2015-10-02 00:00:00",2,0,"France","France Ligue 1","LOSC Lille","Montpellier Hérault SC",2,3.1,4.33,8,3,11,2,17,15,3,1,17,8,9,2
"24537","2009/2010",27,"2010-03-07 00:00:00",1,1,"France","France Ligue 1","Girondins de Bordeaux","Montpellier Hérault SC",1.57,3.6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24538","2009/2010",25,"2010-02-20 00:00:00",1,0,"France","France Ligue 1","AS Saint-Étienne","Montpellier Hérault SC",2.25,3.2,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24539","2012/2013",17,"2012-12-12 00:00:00",1,2,"France","France Ligue 1","Stade Brestois 29","Montpellier Hérault SC",3,3,2.5,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"24540","2012/2013",36,"2013-05-11 00:00:00",3,1,"France","France Ligue 1","SC Bastia","Montpellier Hérault SC",2.3,3.1,3.25,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"24541","2010/2011",17,"2010-12-11 00:00:00",0,0,"France","France Ligue 1","Stade Brestois 29","Montpellier Hérault SC",2.4,3,3.2,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA
"24542","2014/2015",26,"2015-02-22 00:00:00",0,2,"France","France Ligue 1","En Avant de Guingamp","Montpellier Hérault SC",2.25,3.2,3.4,4,9,4,4,13,19,0,1,24,15,1,4
"24543","2015/2016",2,"2015-08-15 00:00:00",1,0,"France","France Ligue 1","Stade Rennais FC","Montpellier Hérault SC",2.25,3.1,3.5,3,2,4,5,12,9,3,1,14,12,3,4
"24544","2010/2011",15,"2010-11-27 00:00:00",4,0,"France","France Ligue 1","Olympique de Marseille","Montpellier Hérault SC",1.53,3.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24545","2015/2016",23,"2016-01-30 00:00:00",0,4,"France","France Ligue 1","GFC Ajaccio","Montpellier Hérault SC",2.4,3.2,3.1,3,2,10,1,12,10,3,3,19,12,5,4
"24546","2010/2011",8,"2010-10-03 00:00:00",3,1,"France","France Ligue 1","LOSC Lille","Montpellier Hérault SC",1.7,3.4,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24547","2013/2014",21,"2014-01-18 00:00:00",0,2,"France","France Ligue 1","FC Sochaux-Montbéliard","Montpellier Hérault SC",3,3,2.5,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA
"24548","2010/2011",32,"2011-04-27 00:00:00",3,2,"France","France Ligue 1","Olympique Lyonnais","Montpellier Hérault SC",1.4,4.33,8.5,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"24549","2013/2014",36,"2014-05-04 00:00:00",2,0,"France","France Ligue 1","AS Saint-Étienne","Montpellier Hérault SC",1.57,3.8,6,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"24550","2009/2010",36,"2010-05-05 00:00:00",0,1,"France","France Ligue 1","FC Sochaux-Montbéliard","Montpellier Hérault SC",2.8,2.75,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24551","2014/2015",25,"2015-04-07 00:00:00",0,0,"France","France Ligue 1","AS Monaco","Montpellier Hérault SC",1.73,3.5,5.5,7,2,3,2,15,17,1,2,19,8,9,5
"24552","2012/2013",2,"2012-08-18 00:00:00",2,1,"France","France Ligue 1","FC Lorient","Montpellier Hérault SC",2.7,3,2.75,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
"24553","2015/2016",31,"2016-03-19 00:00:00",3,0,"France","France Ligue 1","AS Saint-Étienne","Montpellier Hérault SC",2,3.2,4.2,4,2,3,6,14,13,1,3,25,22,5,7
"24554","2014/2015",23,"2015-01-31 00:00:00",0,0,"France","France Ligue 1","FC Lorient","Montpellier Hérault SC",2.38,3.2,3.2,8,2,5,3,19,10,2,1,18,10,9,3
"24555","2013/2014",32,"2014-04-05 00:00:00",1,2,"France","France Ligue 1","En Avant de Guingamp","Montpellier Hérault SC",2.5,3,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"24556","2010/2011",12,"2010-11-07 00:00:00",2,0,"France","France Ligue 1","RC Lens","Montpellier Hérault SC",2.38,3,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24557","2013/2014",11,"2013-10-27 00:00:00",2,0,"France","France Ligue 1","Girondins de Bordeaux","Montpellier Hérault SC",2.1,3.2,3.6,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA
"24558","2013/2014",25,"2014-02-15 00:00:00",2,2,"France","France Ligue 1","Stade Rennais FC","Montpellier Hérault SC",2.5,3.1,2.9,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
"24559","2009/2010",13,"2009-11-07 00:00:00",1,1,"France","France Ligue 1","Valenciennes FC","Montpellier Hérault SC",2.2,3.1,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24560","2009/2010",19,"2009-12-23 00:00:00",1,2,"France","France Ligue 1","Olympique Lyonnais","Montpellier Hérault SC",1.53,3.75,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24561","2015/2016",25,"2016-02-06 00:00:00",1,1,"France","France Ligue 1","FC Lorient","Montpellier Hérault SC",2.4,3.2,3.1,3,6,2,4,10,8,2,1,15,18,7,1
"24562","2014/2015",38,"2015-05-23 00:00:00",2,1,"France","France Ligue 1","Girondins de Bordeaux","Montpellier Hérault SC",2.05,3.4,3.8,10,1,8,4,13,11,0,1,17,13,7,2
"24563","2011/2012",7,"2011-09-21 00:00:00",1,3,"France","France Ligue 1","AC Ajaccio","Montpellier Hérault SC",3.5,3.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
